"","GENUS_SPECIES"
"872","Myiarchus antillarum"
"873","Euphonia elegantissima"
"874","Zenaida asiatica"
"875","Parkesia noveboracensis"
"876","Tyrannus dominicensis"
"877","Anthracothorax viridis"
"878","Buteo jamaicensis"
"879","Dendroica magnolia"
"880","Crotophaga ani"
"881","Contopus latirostris"
"882","Dendroica stirata"
"883","Ammospermophilus harrisi"
"884","Onychomys torridus"
"885","Chaetodipus penicillatus"
"886","Dipodomys spec"
"887","Reithrodontomys fulvescen"
"888","Campylorhynchus brunneica"
"889","Sceloporus undulatus"
"890","Chaetodipus baileyi"
"891","Chaetodipus hisipdus"
"892","Sylvilagus audubonii"
"893","Pooecetes gramineus"
"894","Amphispiza bilineata"
"895","Pipilio chlorurus"
"896","Sigmodon fulviventer"
"897","Sigmodon ochrognathus"
"898","Crotalus scutalatus"
"899","Libellula quadrimaculata"
"900","Ischnura elegans"
"901","Sympetrum striolatum"
"902","Coenagrion puella"
"903","Lestes sponsa"
"904","Haematopus moquini"
"905","Phalacrocorax capensi"
"906","Sterna caspia"
"907","Sterna hirundo"
"908","Larus dominicanus"
"909","Larus hartlaubii"
"910","Pelecanus onocrotalus"
"911","Sterna bergii"
"912","Sterna sandvicensis"
"913","Larus cirrocephalus"
"914","Chlidonias hybridus"
"915","Chlidonias leucopteru"
"916","Sterna albifrons"
"917","Sterna bengalensis"
"918","Sterna balaenarum"
"919","Sterna paradisaea"
"920","Larus pipixcan"
"921","Procellaria aequinoct"
"922","Phalacrocorax coronat"
"923","Phalacrocorax neglect"
"924","Sterna dougallii"
"925","Larus fuscus"
"926","Sterna vittata"
"927","Sterna anaethetus"
"928","Sterna fuscata"
"929","Larus ridibundus"
"930","Anous minutus"
"931","Aptenodytes forsteri"
"932","Diomedea amsterdamens"
"933","Eudyptes chrysocome"
"934","Eudyptes glaucoides"
"935","Garrodia nereis"
"936","Gygis alba"
"937","Kermadec isla"
"938","Larus leucopthalmus"
"939","Lesser-crested sand"
"940","Megadyptes antipodes"
"941","Morus hybrid"
"942","Pachyptila crassirost"
"943","Pagodroma nivea"
"944","Pelecanoides georgicus"
"945","Pelecanoides urinatrix"
"946","Phalacrocorax atricep"
"947","Phalacrocorax campbel"
"948","Pterodoma nigripennis"
"949","Pterodroma arminjonia"
"950","Pterodroma inexpectat"
"951","Pterodroma neglecta"
"952","Puffinus atrodorsalis"
"953","Puffinus tenuirostris"
