sample_id,phylo_div,SR
AD1_2008__Billeter 1 BLTS1 1__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS1 2__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS1 3__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS1 4__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS1 5__2001-07-02,6,2
AD1_2008__Billeter 1 BLTS1 7__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS1 8__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS2 17__2001-07-02,7,3
AD1_2008__Billeter 1 BLTS2 18__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS2 19__2001-07-02,7,3
AD1_2008__Billeter 1 BLTS2 20__2001-07-02,6,2
AD1_2008__Billeter 1 BLTS2 21__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS2 22__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS2 23__2001-07-02,7,3
AD1_2008__Billeter 1 BLTS2 24__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS2 25__2001-07-02,6,2
AD1_2008__Billeter 1 BLTS2 26__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS2 27__2001-07-02,7,3
AD1_2008__Billeter 1 BLTS2 28__2001-07-02,6,2
AD1_2008__Billeter 1 BLTS2 29__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS2 30__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS2 31__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS3 32__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS3 34__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS3 35__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS3 36__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS3 37__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS3 38__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS3 39__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS3 41__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS3 42__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS3 43__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS3 44__2001-07-02,5,1
AD1_2008__Billeter 1 BLTS3 45__2001-07-02,5,1
